computer_id,statement_id,option
14.55.90.38,,
14.55.90.38,,split
14.55.90.38,1,takeall
14.55.90.38,2,split
8.62.60.59,,
8.62.60.59,,
8.62.60.59,,
8.62.60.59,,
8.62.60.59,,
8.62.60.59,,
8.62.60.59,,
8.62.60.59,,
8.62.60.59,,
8.62.60.59,,
8.62.60.59,,
8.62.60.59,,
8.62.60.59,,
8.62.60.59,,
8.62.60.59,,
8.62.60.59,,
8.62.60.59,,
8.62.60.59,,
8.62.60.59,,
8.62.60.59,,
8.62.60.59,,
8.62.60.59,,
8.62.60.59,,
8.62.60.59,,
8.62.60.59,,
8.62.60.59,,
8.62.60.59,,
8.62.60.59,,
8.62.60.59,,
8.62.60.59,,
8.62.60.59,,
8.62.60.59,,
8.62.60.59,,
8.62.60.59,,
8.62.60.59,,
8.62.60.59,,
8.62.60.59,,
8.62.60.59,,
8.62.60.59,,
8.62.60.59,,
8.62.60.59,,
8.62.60.59,,
8.62.60.59,,
8.62.60.59,,
8.62.60.59,,
8.62.60.59,,
8.62.60.59,,
8.62.60.59,1,split
8.62.60.59,,takeall
8.62.60.59,1,takeall
8.62.60.59,,takeall
8.62.60.59,1,takeall
8.62.60.59,2,takeall
8.62.60.59,,takeall
8.62.60.59,1,takeall
8.62.60.59,1,takeall
8.62.60.59,2,takeall
